NUMBER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLUX_APER,FLUXERR_APER,MAG_APER,MAGERR_APER,THRESHOLD,FLUX_RADIUS,FLAGS,NITER_MODEL
2631,1438.2704,4828.3848,214.37480342,52.665649706,3.004796,0.2682701,-1.1945,0.097,0.1480887,1.826,0,36
2632,829.1909,4798.3862,214.32775519,52.691395782,6.003383,0.273638,-1.946,0.0495,0.1480887,1.955,0,32
2633,1766.4736,4421.6519,214.36912214,52.632874192,4.178518,0.2701243,-1.5526,0.0702,0.1480887,5.533,0,40
2634,3683.5142,4105.2275,214.48663606,52.533399359,5.906702,0.2732098,-1.9284,0.0502,0.1480887,2.932,0,60
2635,3058.74,4452.4229,214.46628249,52.576725366,2.85747,0.2682654,-1.14,0.102,0.1480887,1.395,0,33
2636,837.839,4667.3882,214.31878462,52.685153595,2.516289,0.2676478,-1.0019,0.1155,0.1480887,2.297,0,51
2637,2764.3979,4937.8213,214.48028571,52.611497999,2.341674,0.2673312,-0.9238,0.124,0.1480887,2.0,0,49
2638,4723.978,4255.3369,214.57376779,52.493705979,65.04691,0.3639166,-4.5331,0.0061,0.1480887,1.874,0,33
2639,3182.4136,4826.6089,214.50279092,52.587910228,3.90379,0.2698906,-1.4787,0.0751,0.1480887,2.851,0,40
2640,2357.1658,4785.9033,214.43924227,52.622855377,7.184463,0.2747036,-2.141,0.0415,0.1480887,2.459,0,40
2641,3086.9246,4098.3403,214.44240419,52.559665393,3.488286,0.2680979,-1.3565,0.0835,0.1480887,2.429,0,55
2642,4766.8911,4773.3203,214.61487777,52.514866918,2.98879,0.2677175,-1.1887,0.0973,0.1480887,2.235,0,39
2643,4167.7212,4455.6416,214.54776413,52.527443406,3.960083,0.2694715,-1.4943,0.0739,0.1480887,3.091,0,71
2644,4119.8682,4858.6362,214.57381438,52.547539211,3.068791,0.2683858,-1.2174,0.095,0.1480887,1.778,0,62
2645,360.3272,4450.2373,214.26766569,52.696658106,5.273513,0.2723412,-1.8053,0.0561,0.1480887,5.488,0,56
2646,332.0038,4826.2471,214.29314891,52.714740126,7.155112,0.2759264,-2.1365,0.0419,0.1480887,5.269,0,47
2647,949.3862,4441.2417,214.31042191,52.670081754,3.347715,0.2691503,-1.3119,0.0873,0.1480887,2.876,0,46
2648,789.4996,4691.147,214.31696532,52.688364825,9.830023,0.278329,-2.4814,0.0307,0.1480887,1.893,0,35
2649,599.5447,4815.9751,214.3121217,52.702390685,7.498991,0.2762763,-2.1875,0.04,0.1480887,2.343,0,17
2650,860.5229,4674.2217,214.32095696,52.684450819,6.658215,0.2747962,-2.0584,0.0448,0.1480887,2.873,0,36
2651,4955.2441,4479.981,214.60713221,52.49339526,2.752352,0.2678133,-1.0993,0.1057,0.1480887,2.087,0,86
2652,955.1611,4428.1768,214.30988965,52.669240756,2.602332,0.2672791,-1.0384,0.1115,0.1480887,2.002,0,64
2653,1639.0658,4431.5898,214.36048016,52.638985499,31.91582,0.3162512,-3.76,0.0108,0.1480887,7.028,0,26
2654,4291.1973,4863.9863,214.58674357,52.540134003,36.88036,0.3237759,-3.917,0.0095,0.1480887,1.815,0,27
2655,2266.8342,4850.208,214.43732403,52.629748404,11.50973,0.2834778,-2.6527,0.0267,0.1480887,1.877,0,57
2656,1876.1685,4059.1963,214.35063093,52.611795671,7.104665,0.2755831,-2.1289,0.0421,0.1480887,2.765,0,25
2657,3510.3467,4978.5737,214.5379782,52.580068914,2.810628,0.2679189,-1.122,0.1035,0.1480887,2.526,0,23
2658,4376.1768,4428.9922,214.56106207,52.516958937,3.659786,0.2694518,-1.4086,0.08,0.1480887,3.042,0,81
2659,3683.0557,4322.5547,214.50252512,52.543114964,4.411627,0.2710608,-1.6115,0.0667,0.1480887,3.682,0,48
2660,3395.2549,4437.6494,214.4898726,52.561074237,5.6463,0.2732612,-1.8794,0.0526,0.1480887,2.443,0,50
2661,4465.4365,4472.2363,214.57076046,52.5149048,8.92769,0.2787733,-2.3768,0.0339,0.1480887,2.302,0,37
2662,4298.7783,4437.2446,214.55600497,52.520778724,40.61628,0.329538,-4.0217,0.0088,0.1480887,1.815,0,40
2663,1791.4058,4437.3535,214.37210643,52.632466777,32.57605,0.3174833,-3.7822,0.0106,0.1480887,2.352,3,45
2664,1335.5371,4430.5625,214.33807159,52.65243776,55.53795,0.3506139,-4.3615,0.0069,0.1480887,1.865,0,40
2665,2500.2317,4099.9121,214.3994656,52.585852407,3.053629,0.2680968,-1.212,0.0953,0.1480887,3.421,0,66
2666,3076.6465,4368.4863,214.46144367,52.5721817,5.001299,0.2708214,-1.7477,0.0588,0.1480887,2.901,0,47
2667,4316.5322,4422.4263,214.55621766,52.519326443,19.92966,0.297536,-3.2487,0.0162,0.1480887,1.894,0,44
2668,2916.9871,4441.1738,214.45505967,52.582536945,3.710005,0.2692817,-1.4234,0.0788,0.1480887,1.815,0,39
2669,2632.8584,4386.4966,214.43020085,52.592747874,3.306323,0.2669811,-1.2984,0.0877,0.1480887,1.731,0,33
2670,2201.0012,4439.5576,214.40237443,52.614340544,3.310778,0.2690837,-1.2998,0.0883,0.1480887,2.067,0,43
2671,2704.5442,4244.8042,214.42507939,52.583229593,2.922728,0.2683833,-1.1645,0.0997,0.1480887,3.183,0,49
2672,679.1711,4377.769,214.28586047,52.679250632,5.066339,0.2722298,-1.7617,0.0584,0.1480887,4.94,0,28
2673,1594.3512,4405.4404,214.35527435,52.639805492,12.85015,0.2857621,-2.7723,0.0242,0.1480887,1.792,0,31
2674,3078.9988,4496.0049,214.4709631,52.577767882,4.645629,0.2704432,-1.6676,0.0632,0.1480887,3.235,3,44
2675,1915.8347,4585.1934,214.39209313,52.633536308,3.485913,0.2693992,-1.3558,0.0839,0.1480887,2.294,0,42
2676,3469.2805,4882.6416,214.5279301,52.577622491,3.711841,0.2690243,-1.424,0.0787,0.1480887,2.226,0,33
2677,3532.5234,4874.4419,214.53196288,52.574437355,3.765217,0.2691205,-1.4395,0.0776,0.1480887,1.744,0,53
2678,2784.429,4424.0947,214.44408131,52.587677762,6.355712,0.2732364,-2.0079,0.0467,0.1480887,1.909,0,33
2679,3037.7925,4589.2383,214.47477625,52.583763983,9.059298,0.2792536,-2.3927,0.0335,0.1480887,3.599,0,31
2680,3381.5537,4196.8589,214.47122289,52.550940659,3.441578,0.2693194,-1.3419,0.085,0.1480887,3.63,0,17
2681,3887.094,4565.9165,214.5353065,52.544872737,9.981795,0.2795992,-2.498,0.0304,0.1480887,2.3,0,46
2682,2382.3315,4420.5347,214.41430034,52.605420341,4.192239,0.2693684,-1.5561,0.0698,0.1480887,2.082,0,41
2683,1951.62,4533.0918,214.39090382,52.62961635,40.01137,0.3280052,-4.0055,0.0089,0.1480887,4.192,0,35
2684,569.5906,4306.0161,214.27252519,52.680908514,3.454884,0.2690827,-1.3461,0.0846,0.1480887,3.26,0,25
2685,2337.6482,4393.7437,214.40905478,52.606212632,9.309135,0.2796872,-2.4223,0.0326,0.1480887,4.189,0,39
2686,75.3571,4361.9893,214.24017585,52.705364164,2.781755,0.2681284,-1.1108,0.1047,0.1480887,2.656,0,25
2687,1910.9795,4277.5161,214.36918404,52.620004954,2.775918,0.2675939,-1.1085,0.1047,0.1480887,2.46,0,46
2688,1257.7791,4272.1729,214.32074031,52.648812757,56.16283,0.3512776,-4.3736,0.0068,0.1480887,1.828,0,37
2689,4323.3843,4329.6816,214.54992172,52.514886781,8.297332,0.277927,-2.2973,0.0364,0.1480887,1.819,0,24
2690,2833.1807,4335.8623,214.44119217,52.581567967,16.62045,0.2920915,-3.0516,0.0191,0.1480887,1.819,0,51
2691,4316.2939,4376.021,214.55279905,52.517268609,137.0363,0.4489642,-5.3421,0.0036,0.1480887,1.923,0,34
2692,1608.1031,4311.4097,214.34939472,52.634990861,41.4828,0.3299613,-4.0447,0.0086,0.1480887,1.875,0,21
2693,4323.8145,4353.5435,214.55170185,52.515931274,3.544232,0.2697645,-1.3738,0.0827,0.1480887,2.004,0,51
2694,4254.6802,4355.0913,214.5467574,52.519083262,3.391495,0.2684461,-1.326,0.086,0.1480887,2.659,0,45
2695,838.605,4268.1001,214.28957212,52.667260171,3.899408,0.2691016,-1.4775,0.0749,0.1480887,3.029,0,80
2696,676.3248,4389.7275,214.28652713,52.679912115,6.176355,0.2729178,-1.9768,0.048,0.1480887,4.079,0,37
2697,4089.2056,4849.5996,214.57090729,52.548504325,2.47927,0.2665296,-0.9858,0.1167,0.1480887,2.606,0,74
2698,4768.1431,4285.3677,214.57919639,52.493073915,2.890675,0.2680637,-1.1525,0.1007,0.1480887,1.954,0,20
2699,4117.979,4280.27,214.53127111,52.521842712,94.10811,0.4006077,-4.9341,0.0046,0.1480887,5.731,2,36
2700,1917.8743,4486.8398,214.3850324,52.629051491,12.21923,0.2839487,-2.7176,0.0252,0.1480887,2.036,0,31
2701,1122.774,4881.6318,214.35548601,52.682062807,2.397829,0.267433,-0.9495,0.1211,0.1480887,2.246,0,39
2702,3323.1711,4370.5303,214.47966944,52.561291247,3.774303,0.269918,-1.4421,0.0777,0.1480887,2.123,0,98
2703,1946.4083,4416.9292,214.38200547,52.624658395,13.96669,0.2869182,-2.8627,0.0223,0.1480887,1.866,0,43
2704,774.8847,4262.355,214.28445621,52.669834365,3.051513,0.2675689,-1.2113,0.0952,0.1480887,2.288,0,23
2705,4895.0952,4812.0986,214.6270914,52.510871002,4.672882,0.2697127,-1.674,0.0627,0.1480887,2.435,0,42
2706,374.024,4375.3008,214.26318337,52.692696159,2.483886,0.2668011,-0.9878,0.1167,0.1480887,2.384,0,30
2707,194.6721,4866.0137,214.28593621,52.722621276,256.9579,0.5642014,-6.0247,0.0024,0.1480887,1.909,0,46
2708,4052.282,4823.8682,214.56631713,52.54900462,6.704376,0.2738546,-2.0659,0.0444,0.1480887,3.868,0,36
2709,1507.7096,4834.9961,214.38039783,52.662855876,2.615248,0.2675649,-1.0438,0.1111,0.1480887,1.682,0,39
2710,472.3515,4878.9023,214.30736113,52.710858314,7.958654,0.2758129,-2.2521,0.0376,0.1480887,2.12,0,28
2711,4488.7075,4388.9229,214.56635566,52.510153894,29.42891,0.3119641,-3.6719,0.0115,0.1480887,3.252,0,35
2712,23.9425,4767.0654,214.26608057,52.725778498,14.90876,0.2887495,-2.9336,0.021,0.1480887,1.887,0,49
2713,1112.8934,4082.2917,214.29616266,52.646759737,26.88939,0.3075344,-3.574,0.0124,0.1480887,1.806,0,41
2714,2780.7073,4581.707,214.45536263,52.5948791,5.283194,0.2713258,-1.8072,0.0558,0.1480887,2.019,0,39
2715,1818.8625,4594.5215,214.38564748,52.638267851,15.00031,0.28793,-2.9403,0.0208,0.1480887,3.849,0,30
2716,2436.9719,4850.5112,214.44984283,52.622185815,8.566088,0.277891,-2.332,0.0352,0.1480887,2.479,0,32
2717,4933.0469,4322.7793,214.59398862,52.487383218,14.13885,0.2879412,-2.876,0.0221,0.1480887,1.789,0,36
2718,1734.1428,4500.5449,214.37252762,52.637837917,75.2122,0.3772219,-4.6907,0.0054,0.1480887,7.182,0,28
2719,3249.9197,4403.1562,214.47669055,52.566010438,6.66957,0.2743051,-2.0602,0.0447,0.1480887,2.177,0,43
2720,2276.0723,4876.5132,214.43993247,52.630511447,2.706679,0.2666801,-1.0811,0.107,0.1480887,1.528,0,52
2721,4662.6147,4366.1865,214.57740513,52.501382992,3.590578,0.2693272,-1.3879,0.0815,0.1480887,4.49,0,42
2722,1802.9884,4889.9531,214.40614854,52.652171668,4.324518,0.2709049,-1.5898,0.068,0.1480887,1.679,0,39
2723,1632.6442,4559.1636,214.36935993,52.644972497,46.49786,0.3382916,-4.1686,0.0079,0.1480887,7.212,0,38
2724,1620.6191,4330.1763,214.35169063,52.635273103,4.223427,0.2702049,-1.5642,0.0695,0.1480887,3.387,0,31
2725,1776.5498,4235.1504,214.35619579,52.624090849,2.605818,0.2680719,-1.0399,0.1117,0.1480887,3.392,0,49
2726,1645.3517,4363.4766,214.35595031,52.635661607,47.95291,0.339339,-4.202,0.0077,0.1480887,3.763,0,34
2727,2352.2158,4375.3926,214.40877981,52.604744631,2.631807,0.2675949,-1.0506,0.1104,0.1480887,2.266,0,54
