Tile_id,Name,FilterName,Alpha_J2000,Delta_J2000,FWHM,Depth2FWHM5s,Depth3arc5s,Deptharcsec2,Zero_Point,Zero_Point_Error,Zero_Point_Procedure,TExposed,Efectime,NCombined,Datasum,Observation_Dates,Flag,Flag_Date
28637,1000001-JPLUS-00316-v2_J0515_swp,J0515,256.5089,23.4809,1.17887998,20.713459,20.4519043,21.5135708,21.5479984,0.0341644995,5,123,122.870003,3,1241569827,2016-06-23 23:05:03 2016-06-23 23:06:14 2016-06-23 23:07:26,None,None
26015,1000001-JPLUS-00316-v2_rSDSS_swp,rSDSS,256.5089,23.4809,1.28593004,21.2462368,21.079052,22.1407166,23.5634804,0.0163931008,5,60,59.9599991,3,1682960452,2016-06-23 23:12:16 2016-06-23 23:13:05 2016-06-23 23:13:54,None,None
30204,1000001-JPLUS-00316-v2_J0660_swp,J0660,256.5089,23.4809,1.28287995,21.4197693,21.2500057,22.3116722,21.0194817,0.0165231004,5,810,809.140015,3,1626722183,2016-06-23 23:27:39 2016-06-23 23:32:37 2016-06-23 23:37:35,None,None
26576,1000001-JPLUS-00316-v2_iSDSS_swp,iSDSS,256.5089,23.4809,1.09963,21.2119522,20.8748417,21.9365063,23.2040005,0.0191449001,5,78,77.9599991,3,2727679085,2016-06-23 22:42:01 2016-06-23 22:42:55 2016-06-23 22:43:50,None,None
28113,1000001-JPLUS-00316-v2_J0861_swp,J0861,256.5089,23.4809,1.08336997,20.6094494,20.2561626,21.3178272,21.499836,0.00346349995,5,180,179.899994,3,4291520669,2016-06-23 23:00:27 2016-06-23 23:01:57 2016-06-23 23:03:25,None,None
31774,1000001-JPLUS-00316-v2_zSDSS_swp,zSDSS,256.5089,23.4809,1.21589994,20.6785851,20.4506016,21.5122662,22.5923958,0.00352999009,5,108,107.82,3,2756452141,2016-06-23 23:51:36 2016-06-23 23:52:40 2016-06-23 23:53:47,None,None
27066,1000001-JPLUS-00315-v2_uJAVA_swp,uJAVA,255.0013,23.4809,1.20801997,22.3303127,22.0952702,23.1569347,21.1806355,0.0368461981,5,1035,990.330017,5,1374617536,2016-06-07 23:28:15 2016-06-07 23:32:14 2016-06-22 22:26:53 2016-06-22 22:30:52 2016-06-22 22:34:52,None,None
29687,1000001-JPLUS-00315-v2_J0378_swp,J0378,255.0013,23.4809,1.30446005,22.0418797,21.8902283,22.9518948,20.5078773,0.0364822,5,1320,1261.08997,6,741429418,2016-06-07 23:54:28 2016-06-07 23:58:39 2016-06-08 00:02:49 2016-06-22 22:56:56 2016-06-22 23:01:06 2016-06-22 23:05:17,None,None
31255,1000001-JPLUS-00315-v2_J0395_swp,J0395,255.0013,23.4809,1.29943001,21.323101,21.1672554,22.2289219,20.425148,0.0362905003,5,588,561.419983,6,2833010071,2016-06-08 00:24:40 2016-06-08 00:26:47 2016-06-08 00:28:55 2016-06-22 23:27:05 2016-06-22 23:29:11 2016-06-22 23:31:21,None,None
29163,1000001-JPLUS-00315-v2_J0410_swp,J0410,255.0013,23.4809,1.31526005,21.2285442,21.085844,22.1475105,21.3760109,0.0264778994,5,234,225.410004,6,1040901664,2016-06-07 23:48:07 2016-06-07 23:49:16 2016-06-07 23:50:24 2016-06-22 22:50:37 2016-06-22 22:51:44 2016-06-22 22:52:54,None,None
