,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
8508,220.229428,40.237373,220.22942799999998,40.237373,1,+,6,J144055.06+401414.5,*,2003.2317,3,23.709,0.6609999999999999,24.041999999999998,0.34,22.816,0.183,22.069000000000003,0.155,21.266,0.251,,,,
8509,220.231367,40.230765,220.231367,40.230765000000005,1,,6,J144055.52+401350.7,,2003.2317,3,23.811,0.67,25.506,0.44,22.767,0.16399999999999998,24.708000000000002,0.552,23.339000000000002,0.444,,,,
8510,220.236484,40.218781,220.236484,40.218781,1,+,6,J144056.75+401307.6,,2003.2317,3,24.895,0.823,23.628,0.23399999999999999,22.01,0.086,20.633000000000003,0.043,19.862000000000002,0.073,,,,
8511,220.231315,40.233916,220.231315,40.233916,1,,6,J144055.51+401402.0,*,2003.2317,3,24.223000000000003,0.807,25.779,0.39,23.845,0.369,22.528000000000002,0.213,22.084,0.4,,,,
8513,220.228086,40.233966,220.228086,40.233965999999995,1,,6,J144054.74+401402.2,,2003.2317,3,24.194000000000003,0.794,25.221,0.46799999999999997,24.855,0.51,24.07,0.5579999999999999,21.305999999999997,0.239,,,,
8515,220.196514,40.24123,220.196514,40.24123,1,+,6,J144047.16+401428.4,,2003.2317,3,24.241,0.8320000000000001,24.423000000000002,0.4,23.113000000000003,0.21600000000000003,23.278000000000002,0.374,21.983,0.37799999999999995,,,,
8516,220.189467,40.238315,220.18946699999998,40.238315,1,+,6,J144045.47+401417.9,*,2003.2317,3,23.256999999999998,0.475,21.275,0.036000000000000004,19.723,0.016,18.534000000000002,0.01,17.849,0.017,,,,
8517,220.189938,40.23636,220.18993799999998,40.23636,1,+,6,J144045.58+401410.8,,2003.2317,3,25.4,0.6729999999999999,24.039,0.32,22.456999999999997,0.125,21.822,0.115,21.741,0.327,,,,
8519,220.177006,40.231916,220.177006,40.231916,1,+,6,J144042.48+401354.8,,2003.2317,3,23.467,0.557,22.994,0.14300000000000002,22.256,0.106,21.89,0.122,21.338,0.245,,,,
8520,220.178033,40.22799,220.178033,40.227990000000005,1,+,6,J144042.72+401340.7,,2003.2317,3,25.139,0.858,23.188000000000002,0.184,21.924,0.08900000000000001,20.335,0.037000000000000005,19.322,0.052000000000000005,,,,
